@relation numerical
@attribute t0 real
@attribute t1 real
@attribute t2 real
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.097627,0.585,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.089766,0.76238,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.15269,0.83284,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.78355,0.053168,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.92733,0.075892,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.23312,0.87533,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.58345,-0.38962,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.05779,0.96687,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.85119,-0.082554,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.82574,0.53809,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.66524,-0.36033,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.55631,-0.6071,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.74002,0.34306,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.077041,0.28561,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.56106,-0.11425,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.27984,-0.35705,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.71329,-0.05163,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.88934,0.029534,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.043697,-0.71912,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.17068,0.42578,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.47089,0.66095,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.087699,-0.41722,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.13687,-0.92391,1,{0 -1 1 -1 2 -1 3 -1 4 -1 5 1 6 -1 7 -1 8 -1 9 -1}
0.22419,0.9284,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.23387,0.062989,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.36364,-0.25117,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.28098,-0.29236,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.87955,-0.28109,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.74215,-0.61275,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
0.14039,-0.54452,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.1228,-0.10641,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.58225,-0.012109,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.30622,0.33443,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.49342,0.59616,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.067378,0.10199,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
